title,timestamp,views
"Denk bloß nicht, ich heule",2015-12-31,589
"Denk bloß nicht, ich heule",2016-12-31,521
Charles Duncan (GC),2015-12-31,414
Charles Duncan (GC),2016-12-31,380
USS Clamour (AM-160),2015-12-31,666
USS Clamour (AM-160),2016-12-31,542
Fire: The Jimi Hendrix Collection,2015-12-31,3571
Fire: The Jimi Hendrix Collection,2016-12-31,2401
Anthony McFarland,2015-12-31,102677
Anthony McFarland,2016-12-31,25698
Dearborn-Massar,2015-12-31,303
Dearborn-Massar,2016-12-31,337
Pot-in-pot,2015-12-31,1142
Pot-in-pot,2016-12-31,1192
Zhang Taofang,2015-12-31,10510
Zhang Taofang,2016-12-31,6041
Coleophora impercepta,2015-12-31,230
Coleophora impercepta,2016-12-31,186
"Jawornik, Sanok County",2015-12-31,424
"Jawornik, Sanok County",2016-12-31,333
Nové Mlýny reservoirs,2015-12-31,751
Nové Mlýny reservoirs,2016-12-31,556
Všešportový areál,2015-12-31,1263
Všešportový areál,2016-12-31,844
Zashiversk,2015-12-31,865
Zashiversk,2016-12-31,676
Sculptor Galaxy,2015-12-31,10825
Sculptor Galaxy,2016-12-31,8273
Valea Celții River,2015-12-31,165
Valea Celții River,2016-12-31,125
Silver-throated bushtit,2015-12-31,540
Silver-throated bushtit,2016-12-31,540
Xavier University Bhubaneswar,2015-12-31,356
Xavier University Bhubaneswar,2016-12-31,610
Louis Tussaud,2015-12-31,5131
Louis Tussaud,2016-12-31,3571
Joseph Ginat,2015-12-31,655
Joseph Ginat,2016-12-31,696
Lichnowo,2015-12-31,261
Lichnowo,2016-12-31,196
I Want Your Soul,2015-12-31,2684
I Want Your Soul,2016-12-31,2227
Bolnisi inscriptions,2015-12-31,872
Bolnisi inscriptions,2016-12-31,748
Some Stupid with a Flare Gun,2015-12-31,1368
Some Stupid with a Flare Gun,2016-12-31,1036
Tamil Mirror,2015-12-31,1174
Tamil Mirror,2016-12-31,923
David Womark,2015-12-31,1982
David Womark,2016-12-31,2061
Gmina Zakroczym,2015-12-31,499
Gmina Zakroczym,2016-12-31,425
Tadaoka Station,2015-12-31,485
Tadaoka Station,2016-12-31,423
Cass Business School,2015-12-31,31732
Cass Business School,2016-12-31,26365
Lane,2015-12-31,68307
Lane,2016-12-31,63663
Hmong Today,2015-12-31,891
Hmong Today,2016-12-31,689
Deviation of a local ring,2015-12-31,327
Deviation of a local ring,2016-12-31,306
Philipp Andreas Nemnich,2015-12-31,610
Philipp Andreas Nemnich,2016-12-31,481
Willow Creek (Columbia River),2015-12-31,587
Willow Creek (Columbia River),2016-12-31,674
"First Presbyterian Church (Lapwai, Idaho)",2015-12-31,292
"First Presbyterian Church (Lapwai, Idaho)",2016-12-31,281
Esso Longford gas explosion,2015-12-31,9311
Esso Longford gas explosion,2016-12-31,7130
Sanjay's Super Team,2015-12-31,125971
Sanjay's Super Team,2016-12-31,113834
Place name origins,2015-12-31,26172
Place name origins,2016-12-31,22872
Mirat ul Memalik,2015-12-31,1847
Mirat ul Memalik,2016-12-31,1497
LPAR6,2015-12-31,2215
LPAR6,2016-12-31,2066
Gear bearing,2015-12-31,2772
Gear bearing,2016-12-31,2441
Index of biological integrity,2015-12-31,3504
Index of biological integrity,2016-12-31,3241
Aruna Gunawardene,2015-12-31,408
Aruna Gunawardene,2016-12-31,415
Wings Financial Credit Union,2015-12-31,3080
Wings Financial Credit Union,2016-12-31,2450
Empress Xia (Ming dynasty),2015-12-31,342
Empress Xia (Ming dynasty),2016-12-31,439
José del Castillo (footballer),2015-12-31,776
José del Castillo (footballer),2016-12-31,614
Khalaj Mahalleh,2015-12-31,218
Khalaj Mahalleh,2016-12-31,229
Scott Burns (newspaper columnist),2015-12-31,3350
Scott Burns (newspaper columnist),2016-12-31,3114
Westwood Secondary School,2015-12-31,1357
Westwood Secondary School,2016-12-31,1459
Kegham Vanigian,2015-12-31,494
Kegham Vanigian,2016-12-31,412
Richard Brooker,2015-12-31,22025
Richard Brooker,2016-12-31,12844
Ricardo Medina,2015-12-31,1129
Ricardo Medina,2016-12-31,2033
"Patrick Jenkin, Baron Jenkin of Roding",2015-12-31,5057
"Patrick Jenkin, Baron Jenkin of Roding",2016-12-31,4186
"Liechtenstein referendums, 2002",2015-12-31,377
"Liechtenstein referendums, 2002",2016-12-31,313
Ahmad Salim,2015-12-31,1663
Ahmad Salim,2016-12-31,1086
Salina Bookshelf,2015-12-31,626
Salina Bookshelf,2016-12-31,424
Billy Disch,2015-12-31,1460
Billy Disch,2016-12-31,1298
Giorgio Calcaterra,2015-12-31,1530
Giorgio Calcaterra,2016-12-31,4519
New Zealand International Science Festival,2015-12-31,311
New Zealand International Science Festival,2016-12-31,312
CA-Modern,2015-12-31,1059
CA-Modern,2016-12-31,791
Adam Lam,2015-12-31,474
Adam Lam,2016-12-31,380
Economy of Jordan,2015-12-31,36394
Economy of Jordan,2016-12-31,30711
Juned,2015-12-31,1435
Juned,2016-12-31,1214
Transport in Swaziland,2015-12-31,3344
Transport in Swaziland,2016-12-31,2584
Carlos Pita (politician),2015-12-31,610
Carlos Pita (politician),2016-12-31,440
Pacifism in Spain,2015-12-31,2508
Pacifism in Spain,2016-12-31,1968
Petrok Maly,2015-12-31,1294
Petrok Maly,2016-12-31,1189
Ettore Gandini,2015-12-31,440
Ettore Gandini,2016-12-31,336
Asklepios Kliniken,2015-12-31,228
Asklepios Kliniken,2016-12-31,878
Hangtown fry,2015-12-31,11922
Hangtown fry,2016-12-31,9720
Quentin N. Burdick,2015-12-31,3660
Quentin N. Burdick,2016-12-31,4597
Iglesia de Santa María del Conceyu (Llanes),2015-12-31,313
Iglesia de Santa María del Conceyu (Llanes),2016-12-31,198
White Run (Rock Creek),2015-12-31,400
White Run (Rock Creek),2016-12-31,376
"Migrant Workers (Supplementary Provisions) Convention, 1975",2015-12-31,1257
"Migrant Workers (Supplementary Provisions) Convention, 1975",2016-12-31,1152
Civil parishes in England,2015-12-31,42869
Civil parishes in England,2016-12-31,37535
WHBB,2015-12-31,1147
WHBB,2016-12-31,945
1957–58 Boston Celtics season,2015-12-31,2017
1957–58 Boston Celtics season,2016-12-31,1905
"Bobby Parker (footballer, born 1952)",2015-12-31,674
"Bobby Parker (footballer, born 1952)",2016-12-31,619
Shire of Upper Murray,2015-12-31,268
Shire of Upper Murray,2016-12-31,404
Indianapolis Power & Light,2015-12-31,7018
Indianapolis Power & Light,2016-12-31,5963
"Kukowo, Podlaskie Voivodeship",2015-12-31,358
"Kukowo, Podlaskie Voivodeship",2016-12-31,292
Wai Ren,2015-12-31,1493
Wai Ren,2016-12-31,1382
Vilar de Mouros Festival,2015-12-31,2194
Vilar de Mouros Festival,2016-12-31,2221
Re Tuck's Settlement Trusts,2015-12-31,1895
Re Tuck's Settlement Trusts,2016-12-31,2165
Cleis Press,2015-12-31,3412
Cleis Press,2016-12-31,2955
"Ajjanahalli, Arsikere",2015-12-31,380
"Ajjanahalli, Arsikere",2016-12-31,246
2014 Copa del Sol,2015-12-31,1397
2014 Copa del Sol,2016-12-31,916
Ingmar Lazar,2015-12-31,1050
Ingmar Lazar,2016-12-31,907
Kosagawa Station,2015-12-31,361
Kosagawa Station,2016-12-31,315
Roza Robota,2015-12-31,6486
Roza Robota,2016-12-31,7575
Land lot,2015-12-31,36927
Land lot,2016-12-31,32084
Richard Arkwright,2015-12-31,57731
Richard Arkwright,2016-12-31,66843
Solar charger,2015-12-31,31959
Solar charger,2016-12-31,21755
Avianca Flight 011,2015-12-31,14127
Avianca Flight 011,2016-12-31,11583
Toroidal inductors and transformers,2015-12-31,38621
Toroidal inductors and transformers,2016-12-31,30721
Sexx Laws,2015-12-31,134165
Sexx Laws,2016-12-31,58059
Hehekou Township,2015-12-31,294
Hehekou Township,2016-12-31,248
Bithynia pygmaea,2015-12-31,187
Bithynia pygmaea,2016-12-31,196
Hypatius (consul 500),2015-12-31,4519
Hypatius (consul 500),2016-12-31,4025
Nappa Merrie,2015-12-31,1207
Nappa Merrie,2016-12-31,1528
Suns in alchemy,2015-12-31,9935
Suns in alchemy,2016-12-31,9226
Cielądz,2015-12-31,310
Cielądz,2016-12-31,277
Mary River National Park,2015-12-31,1350
Mary River National Park,2016-12-31,1069
Hymenula affinis,2015-12-31,370
Hymenula affinis,2016-12-31,261
The Poetry Collection,2015-12-31,429
The Poetry Collection,2016-12-31,391
Altônia,2015-12-31,764
Altônia,2016-12-31,448
Spot beam,2015-12-31,5537
Spot beam,2016-12-31,5012
German submarine U-821,2015-12-31,1729
German submarine U-821,2016-12-31,1135
Leucas aspera,2015-12-31,9323
Leucas aspera,2016-12-31,8454
Savore Sanguino,2015-12-31,1271
Savore Sanguino,2016-12-31,1219
The GrooveGrass Boyz,2015-12-31,1077
The GrooveGrass Boyz,2016-12-31,846
Acilius (genus),2015-12-31,752
Acilius (genus),2016-12-31,636
Undule Mwakasungula,2015-12-31,627
Undule Mwakasungula,2016-12-31,441
Charles J. O'Malley,2015-12-31,309
Charles J. O'Malley,2016-12-31,177
Operation Web Tryp,2015-12-31,4509
Operation Web Tryp,2016-12-31,3165
Andamia tetradactylus,2015-12-31,391
Andamia tetradactylus,2016-12-31,218
Bolandra californica,2015-12-31,426
Bolandra californica,2016-12-31,289
Marshal of Bolivia,2015-12-31,757
Marshal of Bolivia,2016-12-31,579
Cyffylliog,2015-12-31,1037
Cyffylliog,2016-12-31,889
Hermética,2015-12-31,2494
Hermética,2016-12-31,2719
1963 WCHA Men's Ice Hockey Tournament,2015-12-31,311
1963 WCHA Men's Ice Hockey Tournament,2016-12-31,272
Pseudamnicola brachia,2015-12-31,240
Pseudamnicola brachia,2016-12-31,185
Dmitry Grigorovich,2015-12-31,2340
Dmitry Grigorovich,2016-12-31,2306
Laura Kraut,2015-12-31,2382
Laura Kraut,2016-12-31,2248
Mesa Grande Band of Diegueno Mission Indians,2015-12-31,1884
Mesa Grande Band of Diegueno Mission Indians,2016-12-31,1483
Flodafors,2015-12-31,393
Flodafors,2016-12-31,303
Sabotage (2014 film),2015-12-31,254384
Sabotage (2014 film),2016-12-31,190885
Perai,2015-12-31,4002
Perai,2016-12-31,3192
John Navarre,2015-12-31,11640
John Navarre,2016-12-31,7501
Namdeo Jadav,2015-12-31,2089
Namdeo Jadav,2016-12-31,1399
José Antonio Noriega,2015-12-31,3299
José Antonio Noriega,2016-12-31,2697
Dark Shadows by Marilyn Ross,2015-12-31,1120
Dark Shadows by Marilyn Ross,2016-12-31,1169
1925 Florida Gators football team,2015-12-31,1920
1925 Florida Gators football team,2016-12-31,1003
Cunningham Communication,2015-12-31,1141
Cunningham Communication,2016-12-31,868
"Bénouville, Seine-Maritime",2015-12-31,1054
"Bénouville, Seine-Maritime",2016-12-31,772
Kincardine O'Neil,2015-12-31,1466
Kincardine O'Neil,2016-12-31,1857
Sophocles Sophocleous,2015-12-31,653
Sophocles Sophocleous,2016-12-31,449
University Hospital Crosshouse,2015-12-31,2676
University Hospital Crosshouse,2016-12-31,2847
Alan Ford (actor),2015-12-31,68839
Alan Ford (actor),2016-12-31,54688
Periyavalayam,2015-12-31,295
Periyavalayam,2016-12-31,337
Alex Chmurski,2015-12-31,311
Alex Chmurski,2016-12-31,262
Artemus Gates,2015-12-31,2094
Artemus Gates,2016-12-31,2552
Little Tail Story,2015-12-31,6187
Little Tail Story,2016-12-31,4856
Sambucus gaudichaudiana,2015-12-31,1354
Sambucus gaudichaudiana,2016-12-31,931
Planets (Eloy album),2015-12-31,2257
Planets (Eloy album),2016-12-31,2263
Diriye Osman,2015-12-31,2910
Diriye Osman,2016-12-31,1890
2012 Città di Caltanissetta – Singles,2015-12-31,320
2012 Città di Caltanissetta – Singles,2016-12-31,228
Freels Farm Mounds,2015-12-31,744
Freels Farm Mounds,2016-12-31,606
Zabojnica,2015-12-31,380
Zabojnica,2016-12-31,280
Unnikrishnan Thiruvazhiyode,2015-12-31,1556
Unnikrishnan Thiruvazhiyode,2016-12-31,1223
Lullington Heath,2015-12-31,850
Lullington Heath,2016-12-31,618
Łosośna Mała,2015-12-31,331
Łosośna Mała,2016-12-31,214
Lithuanian National Symphony Orchestra,2015-12-31,1079
Lithuanian National Symphony Orchestra,2016-12-31,978
Feel (Robbie Williams song),2015-12-31,23948
Feel (Robbie Williams song),2016-12-31,18734
Carnwath Farms Historic Site & Park,2015-12-31,377
Carnwath Farms Historic Site & Park,2016-12-31,487
Phylis Smith,2015-12-31,2294
Phylis Smith,2016-12-31,1394
Roman Catholicism in Ireland,2015-12-31,28418
Roman Catholicism in Ireland,2016-12-31,28043
Sultans Trail,2015-12-31,3586
Sultans Trail,2016-12-31,2917
Great Comet of 1823,2015-12-31,2454
Great Comet of 1823,2016-12-31,2289
Telemetry Orchestra,2015-12-31,969
Telemetry Orchestra,2016-12-31,929
Lunt Silversmiths,2015-12-31,2715
Lunt Silversmiths,2016-12-31,2215
John Benger,2015-12-31,325
John Benger,2016-12-31,181
"Edosaki, Ibaraki",2015-12-31,818
"Edosaki, Ibaraki",2016-12-31,552
Novi Pot,2015-12-31,331
Novi Pot,2016-12-31,219
Ruth Levitas,2015-12-31,1874
Ruth Levitas,2016-12-31,2462
The Breed Holds Good,2015-12-31,333
The Breed Holds Good,2016-12-31,241
Apparel industry of Sri Lanka,2015-12-31,14474
Apparel industry of Sri Lanka,2016-12-31,12942
1915 Quetzalcóatl,2016-12-31,170
Zero divisor,2015-12-31,14901
Zero divisor,2016-12-31,12943
Maria Lähteenmäki,2015-12-31,367
Maria Lähteenmäki,2016-12-31,277
Noob Saibot,2015-12-31,127026
Noob Saibot,2016-12-31,96864
Antanimbary,2015-12-31,395
Antanimbary,2016-12-31,302
"Aix, Nord",2015-12-31,1210
"Aix, Nord",2016-12-31,872
Pinakini satygraha Ashramam,2015-12-31,184
Pinakini satygraha Ashramam,2016-12-31,169
1855 in Scotland,2015-12-31,1429
1855 in Scotland,2016-12-31,828
Avon Dassett,2015-12-31,1226
Avon Dassett,2016-12-31,1069
Bureau of Civil Aviation Security,2015-12-31,2972
Bureau of Civil Aviation Security,2016-12-31,2767
Pawansa,2015-12-31,330
Pawansa,2016-12-31,327
Dete train crash,2015-12-31,955
Dete train crash,2016-12-31,855
Regional Elite Airline Services,2015-12-31,1790
Regional Elite Airline Services,2016-12-31,1799
Biblical manuscript,2015-12-31,59287
Biblical manuscript,2016-12-31,65397
Ioan Pop,2015-12-31,913
Ioan Pop,2016-12-31,808
Aeolian (album),2015-12-31,3497
Aeolian (album),2016-12-31,2457
William Barry Lord,2015-12-31,469
William Barry Lord,2016-12-31,403
Ervil LeBaron,2015-12-31,34930
Ervil LeBaron,2016-12-31,35824
"Chris Brown (cricketer, born 1973)",2015-12-31,423
"Chris Brown (cricketer, born 1973)",2016-12-31,452
Stornara,2015-12-31,940
Stornara,2016-12-31,682
Big Chill Super Chargers,2015-12-31,1638
Big Chill Super Chargers,2016-12-31,1184
Tom and Jerry: Blast Off to Mars,2015-12-31,12799
Tom and Jerry: Blast Off to Mars,2016-12-31,10311
English Narrows,2015-12-31,576
English Narrows,2016-12-31,503
Whittier Boulevard,2015-12-31,3592
Whittier Boulevard,2016-12-31,3888
Isolobodon,2015-12-31,464
Isolobodon,2016-12-31,532
Yahudi Ki Ladki,2015-12-31,2115
Yahudi Ki Ladki,2016-12-31,1297
Ulopeza denticulalis,2015-12-31,207
Ulopeza denticulalis,2016-12-31,172
"Tepe, Gülnar",2015-12-31,331
"Tepe, Gülnar",2016-12-31,233
Canada's Worst Handyman 5,2015-12-31,1493
Canada's Worst Handyman 5,2016-12-31,1187
Halo: Spartan Strike,2015-12-31,82326
Halo: Spartan Strike,2016-12-31,27613
Kalfaret,2015-12-31,1222
Kalfaret,2016-12-31,1132
Fort Phantom Hill,2015-12-31,3982
Fort Phantom Hill,2016-12-31,3636
Eulaema,2015-12-31,1526
Eulaema,2016-12-31,1239
Senarclens,2015-12-31,668
Senarclens,2016-12-31,556
"Symphony No. 1 ""The Lord of the Rings""",2015-12-31,5618
"Symphony No. 1 ""The Lord of the Rings""",2016-12-31,5163
2011 Conference USA football season,2015-12-31,1151
2011 Conference USA football season,2016-12-31,724
Mill Rift Hall,2015-12-31,737
Mill Rift Hall,2016-12-31,533
Waata Pihikete Kukutai,2015-12-31,332
Waata Pihikete Kukutai,2016-12-31,215
Philipo Mulugo,2015-12-31,1035
Philipo Mulugo,2016-12-31,688
Freedom of religion in Cambodia,2015-12-31,2218
Freedom of religion in Cambodia,2016-12-31,1848
Old Seminary Building,2015-12-31,558
Old Seminary Building,2016-12-31,416
The Burning Land,2015-12-31,41217
The Burning Land,2016-12-31,19247
Tim DeLaughter,2015-12-31,12402
Tim DeLaughter,2016-12-31,12869
Dragoncharm,2015-12-31,772
Dragoncharm,2016-12-31,856
Ras Kass,2015-12-31,46425
Ras Kass,2016-12-31,35361
Ben Aronson,2015-12-31,3478
Ben Aronson,2016-12-31,1126
Xia Lina,2015-12-31,410
Xia Lina,2016-12-31,388
Afshjerd,2015-12-31,284
Afshjerd,2016-12-31,209
Karl Marx,2015-12-31,1325148
Karl Marx,2016-12-31,1320151
A Frolic of His Own,2015-12-31,6642
A Frolic of His Own,2016-12-31,5260
David Hacker,2015-12-31,531
David Hacker,2016-12-31,415
"Harsh, Sikar",2015-12-31,2049
"Harsh, Sikar",2016-12-31,1515
"Salehabad, Ilam",2015-12-31,498
"Salehabad, Ilam",2016-12-31,460
Löffler's syndrome,2015-12-31,32611
Löffler's syndrome,2016-12-31,28415
All-terrain tyre,2015-12-31,3169
All-terrain tyre,2016-12-31,2514
Peter Frei,2015-12-31,568
Peter Frei,2016-12-31,355
Vicente Romo,2015-12-31,1712
Vicente Romo,2016-12-31,1555
"Wakakusa, Yamanashi",2015-12-31,339
"Wakakusa, Yamanashi",2016-12-31,315
Trinity Anglican Church (Ottawa),2015-12-31,501
Trinity Anglican Church (Ottawa),2016-12-31,451
"Three States, Louisiana and Texas",2015-12-31,844
"Three States, Louisiana and Texas",2016-12-31,835
A Mulher Invisível,2015-12-31,1947
A Mulher Invisível,2016-12-31,1585
Military Merit Medal (Vietnam),2015-12-31,3247
Military Merit Medal (Vietnam),2016-12-31,2653
"Inverclyde Council election, 2007",2015-12-31,686
"Inverclyde Council election, 2007",2016-12-31,551
"Beth Israel Synagogue (Norwalk, Connecticut)",2015-12-31,761
"Beth Israel Synagogue (Norwalk, Connecticut)",2016-12-31,595
Trzcianne,2015-12-31,871
Trzcianne,2016-12-31,776
Jeremy Robinson,2015-12-31,18109
Jeremy Robinson,2016-12-31,9447
Melanolycaena,2015-12-31,356
Melanolycaena,2016-12-31,236
Anup Ghoshal,2015-12-31,8283
Anup Ghoshal,2016-12-31,6843
John McCauley (referee),2015-12-31,1306
John McCauley (referee),2016-12-31,3337
City Charter High School,2015-12-31,2142
City Charter High School,2016-12-31,1650
Lincoln Holroyd,2015-12-31,441
Lincoln Holroyd,2016-12-31,572
Thomas Blanchet,2015-12-31,748
Thomas Blanchet,2016-12-31,682
Governing Council of the European Central Bank,2015-12-31,4477
Governing Council of the European Central Bank,2016-12-31,2689
Colachel,2015-12-31,4670
Colachel,2016-12-31,7825
Torab-e Vosta,2015-12-31,669
Torab-e Vosta,2016-12-31,407
XV (album),2015-12-31,4581
XV (album),2016-12-31,3761
"Candidates of the Australian federal election, 1913",2015-12-31,381
"Candidates of the Australian federal election, 1913",2016-12-31,312
Andy Warrington,2015-12-31,3839
Andy Warrington,2016-12-31,3192
Golden Gate Baptist Theological Seminary,2015-12-31,4647
Golden Gate Baptist Theological Seminary,2016-12-31,4023
English cricket team in the West Indies in 1989–90,2015-12-31,878
English cricket team in the West Indies in 1989–90,2016-12-31,795
1973 New York Jets season,2015-12-31,2712
1973 New York Jets season,2016-12-31,2373
Pat Fraley,2015-12-31,17953
Pat Fraley,2016-12-31,18561
